Season,Player,Points,Rebounds,Assists,Steals,Blocks,Threes,Turnovers,Free Throw Attempts,Free Throw %,Field Goal Attempts,Field Goal %,No Play %,Position
2001,Walt Williams,23.96,9.8,3.88,1.2,1.12,3.92,2.92,5.04,0.76984127,20.52,0.393762183,0,SF
2001,John Crotty,5,2.153846154,2.692307692,0.461538462,0,0.307692308,1.538461538,0.76,0.894736842,2.6,0.338461538,0.48,PG
2001,Terrance Roberson,0,0.5,0.5,0,0,0,1,0,,0.08,0,0.92,SF
2001,Stromile Swift,15.64,11.36,1.12,2.48,3.28,0,2.56,5.64,0.602836879,13.56,0.451327434,0,PF
2001,Sam Perkins,11,7.636363636,1.863636364,1.5,0.818181818,1.727272727,0.863636364,1.52,0.842105263,9.04,0.380530973,0.12,PF
2001,Sam Mitchell,11.4,4.92,2.28,1.04,0.4,0.36,1.44,2.2,0.727272727,11.56,0.408304498,0,SF
2001,Sam Jacobson,4,1.2,0.8,0.6,0,0,0,0.12,0.666666667,0.72,0.5,0.8,PG
2001,Sam Cassell,55.24,11.6,23.2,3.52,0.32,1.2,8.8,12.92,0.857585139,45.28,0.474381625,0,PG
2001,Ryan Bowen,9.095238095,5.380952381,1.428571429,1.761904762,0.571428571,0.19047619,1.142857143,1.76,0.613636364,5.76,0.555555556,0.16,SF
2001,Ruben Wolkowyski,4.411764706,2.705882353,0.176470588,0.352941176,1.058823529,0,0.705882353,1.36,0.735294118,3.16,0.316455696,0.32,PF
2001,Ruben Patterson,42.95652174,16.60869565,7,4.47826087,1.956521739,0.086956522,6.739130435,14.44,0.681440443,29.96,0.493991989,0.08,SF
2001,Ruben Garces,2,3.625,0.625,0.375,0.25,0,0.625,0.32,0.25,0.88,0.318181818,0.68,PF
2001,Roshown McLeod,28.08333333,10,4.833333333,1.916666667,0.666666667,0.166666667,4.833333333,2.04,0.882352941,13.28,0.436746988,0.52,SF
2001,Ron Mercer,60.1,11.8,10.05,3.9,1.35,0.7,6.45,9.12,0.824561404,44.84,0.44603033,0.2,SG
2001,Ron Harper,19.1875,10.375,7.0625,2.4375,1.5625,1.1875,3.875,1.92,0.708333333,10.84,0.468634686,0.36,PG
2001,Samaki Walker,15.28571429,11.57142857,1.380952381,0.476190476,1.952380952,0.047619048,3.238095238,4.96,0.629032258,10.08,0.48015873,0.16,PF
2001,Rodney Rogers,39.92,14.36,7.2,3.88,1.88,2.24,6.28,9.88,0.761133603,35.04,0.430365297,0,SF
2001,Rod Strickland,27.66666667,7.777777778,16.83333333,2.944444444,0.277777778,0.222222222,5.944444444,6.92,0.751445087,17.16,0.424242424,0.28,PG
2001,Robert Traylor,16.75,12.5,2.625,2.041666667,3.166666667,0,4.083333333,5.64,0.567375887,12.96,0.49691358,0.04,C
2001,Robert Pack,19.95833333,5.708333333,12.20833333,2.708333333,0.041666667,0.5,5.625,5.48,0.766423358,17.04,0.424882629,0.04,PG
2001,Robert Horry,16.28,11.84,5.12,2.16,2.16,2.16,3.16,3.32,0.710843373,15.2,0.386842105,0,PF
2001,Ricky Davis,8,1.75,2.75,1.25,0.5,0.25,1.25,0.32,0.875,1.16,0.413793103,0.84,SG
2001,Rick Fox,31.48,13,10.48,2.8,1.16,4.72,5.44,4.88,0.778688525,25.84,0.444272446,0,SF
2001,Rick Brunson,4.6,2.1,3.1,0.8,0.1,0.2,1.7,0.6,0.533333333,2.16,0.333333333,0.6,PG
2001,Richard Hamilton,56.44,9.52,8.96,3,0.4,1.6,8.04,12.76,0.868338558,49.96,0.43795036,0,SF
2001,Reggie Slater,12.0952381,8.857142857,1.238095238,0.857142857,0.428571429,0,2.047619048,4.4,0.672727273,7,0.514285714,0.16,PF
2001,Reggie Miller,61.08,11.4,10.4,3.24,0.6,6.8,5.32,13.92,0.92816092,47.04,0.43962585,0,SG
2001,Ray Allen,72.24,17.12,14.96,4.96,0.8,8.08,8.16,15.68,0.887755102,52.36,0.479755539,0,SG
2001,Rodney Buford,14.58823529,4.352941176,1,1,0.352941176,0.941176471,1.705882353,1.16,0.827586207,9.64,0.43153527,0.32,SF
2001,Tariq Abdul-Wahad,10.09090909,5.363636364,2,1.272727273,1.181818182,0.363636364,3.090909091,1.44,0.583333333,4.44,0.387387387,0.56,SG
2001,Scot Pollard,19.92,18.6,1.88,1.92,3.88,0,2.64,6.84,0.748538012,15.8,0.46835443,0,C
2001,Scott Padgett,5.090909091,3.545454545,0.454545455,0.545454545,0.272727273,0.454545455,0.909090909,0.8,0.75,1.72,0.418604651,0.56,PF
2001,Steve Nash,47.47826087,9.695652174,22.13043478,3.130434783,0.217391304,3.869565217,8.913043478,10.32,0.895348837,31.68,0.487373737,0.08,PG
2001,Steve Kerr,8.227272727,1.590909091,2.590909091,0.727272727,0.045454545,1.5,0.954545455,0.6,0.933333333,6.36,0.421383648,0.12,PG
2001,Steve Goodrich,4.75,5.25,1.5,0.5,0.25,0.25,2,0.28,0.571428571,0.72,0.388888889,0.84,PF
2001,Steve Francis,63.64,22.12,20.68,5.64,1.24,5.32,10.6,17.52,0.817351598,48.76,0.4511895,0,PG
